BOYNAME     |      RELATIONSHIP      |       GIRLNAME       |       DATE       |      TIME
-----------------------------------------------------------------------------------------------------------
EGNTCYN      broke up with      XMTYMBV      10/04/2017      04:08:00
DQDHWKF      broke up with      ATYVOTW      10/04/2017      04:08:00
ROKTFYO      broke up with      RIVVOEP      10/04/2017      04:08:00
VLOIDQQ      broke up with      MHLHUXE      10/04/2017      04:08:00
VJPTWLQ      broke up with      YSCIEYG      10/04/2017      04:08:00
RYQVEGR      broke up with      OXVHIBF      10/04/2017      04:08:00
BUQITWV      broke up with      KHOKSHP      10/04/2017      04:08:00
AWRXIAY      broke up with      GEJAUWN      10/04/2017      04:08:00
DCDJAVG      broke up with      QWANGHH      10/04/2017      04:08:00
USFSQUM      broke up with      CFOIHFU      10/04/2017      04:08:00
WTNMADO      broke up with      HRIMTND      10/04/2017      04:08:00
VBAKELO      broke up with      NLEYAHC      10/04/2017      04:08:00
PBSNVWW      broke up with      TJBOWEY      10/04/2017      04:08:00
FMFWSKM      broke up with      MVRMMEK      10/04/2017      04:08:00
